origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,228.96,0
Argentina,9,155.24666666666667,2
Australia,316,98.88746835443038,75
Austria,14,159.44142857142856,4
Azerbaijan,4,203.13,1
Bahrain,3,199.45000000000002,0
Bangladesh,5,161.43599999999998,0
Belgium,4,80.28750000000001,2
Bhutan,3,209.63,0
Brazil,101,176.00564356435643,8
Bulgaria,4,152.94750000000002,1
Canada,425,141.57249411764704,63
Central African Republic,1,75.49,0
Chile,24,180.73375,1
China,113,186.03203539823008,7
Colombia,5,219.49200000000002,0
Costa Rica,1,16.11,0
Croatia,1,219.9,0
Czech Republic,9,178.21222222222224,1
Denmark,4,233.2025,0
Dominican Republic,5,171.67000000000002,0
Egypt,17,232.45470588235295,0
Estonia,2,10.805,2
Ethiopia,10,218.45,1
Fiji,3,163.52666666666667,0
Finland,7,245.24428571428572,0
France,44,183.0765909090909,6
Georgia,2,37.295,2
Germany,43,184.66651162790697,10
Greece,8,216.96125,1
Guatemala,3,51.45333333333334,1
Hungary,2,146.44,0
Iceland,8,205.495,0
India,72,212.31375,4
Indonesia,29,192.0555172413793,0
Ireland,54,168.06888888888886,4
Islamic Republic of Iran,2,239.57,0
Israel,1,274.04,0
Italy,2,178.13500000000002,0
Japan,175,169.21211428571428,20
Jordan,3,203.47333333333333,0
Kenya,3,245.75,0
Kingdom of the Netherlands,27,190.57000000000002,3
Lao People's Democratic Republic,1,194.31,0
Latvia,1,0.0,1
Lebanon,1,219.07,0
Lithuania,1,83.97,1
Luxembourg,6,155.26666666666668,2
Malaysia,45,171.75666666666666,2
Maldives,1,221.17,0
Malta,16,150.448125,3
Mexico,96,175.01020833333334,7
Morocco,8,195.865,0
Myanmar,8,119.47749999999999,0
New Zealand,50,104.3044,5
Norway,5,126.63200000000002,0
Oman,4,195.115,0
Panama,20,225.2805,1
Philippines,36,173.51,2
Poland,13,180.68615384615384,2
Portugal,19,149.17842105263156,4
Qatar,17,234.93117647058824,0
Republic of Korea,82,185.58878048780488,8
Republic of Moldova,3,195.60333333333332,0
Romania,1,250.54,0
Russian Federation,14,212.345,0
San Marino,2,256.735,0
Saudi Arabia,6,252.87,0
Serbia,3,110.67,1
Singapore,27,175.9588888888889,4
Slovakia,1,187.07,0
South Africa,2,114.54,0
Spain,24,184.84916666666666,1
Sri Lanka,1,238.72,0
Sweden,10,184.303,1
Switzerland,13,152.9446153846154,7
Taiwan,48,196.68625,3
Thailand,24,158.14583333333334,4
Tunisia,4,364.14750000000004,0
Turkey,137,211.4397810218978,7
Turkmenistan,3,165.91666666666666,1
Ukraine,4,233.075,0
United Arab Emirates,44,232.4090909090909,0
United Kingdom,191,194.17267015706807,18
United States,5567,139.7443727534148,532
Uzbekistan,5,248.98000000000002,0
Viet Nam,6,230.94666666666663,0
